ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B06W2M4V3X,Canon,79917.9,58.98,3,1355,1,"Canon Office Products 2198C001 Canon MP11DX-2 Desktop Printing Calculator with Currency Conversion, Clock and Calendar",1000,4.6,986,61.14,Amazon,7.52,4.89,2,13803289138,13803289138,2198C001
B00E58RPY2,Canon,44175.78,24.42,1,1809,1,"Canon CL-246 Genuine Color Ink Cartridge, Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",1000,4.7,11222,25,Amazon,3.68,3.75,1,13803215564,13803215564,8281B001
B0BSR6JYWP,Canon,,,,,,"Canon 067 Genuine Black Toner Cartridge Compatible with LBP633Cdw, LBP632Cdw, MF652Cdw, MF653Cdw, MF654Cdw, MF656Cdw",1000,4.7,277,71.99,HiTouch Business Services a BU of Staples (87% AECXT73EGS1XW),5.42,10.8,1,13803341799,13803341799,5102C001
B07YNK4S9Y,Canon,338152.4,231.77,1,1459,1,"Canon imageFORMULA R40 - Office Document Scanner, Windows and Mac, Duplex Scanning, Easy Setup, Scans a Wide Variety of Documents, Scans to Cloud",1000,4.2,2207,229,Adorama (95% A17MC6HOH9AVE6),13.23,18.32,1,13803328530,13803328530,4229C001
B00F9O3NOC,Canon,112117.4,73.81,2,1519,0.758,Canon PGI-250/ CLI-251 5 Color Amazon Pack,1000,4.7,6605,74.17,Amazon,3.9,11.13,1,"999992231793, 660685202177","0660685202177, 0999992231793",6432B011
B07QDVH2RX,Canon,106782.4,71.57,3,1492,0.996,"Canon 054 Genuine Black Toner Cartridge Compatible with LBP622Cdw, LBP623Cdw, MF641Cdw, MF642Cdw, MF644Cdw",1000,4.7,2176,79.99,Office Depot LLC (88% A28E0G53P6VSHN),5.52,12,1,13803309201,13803309201,3024C001
B0BGM5XPQZ,Canon,117073.9,94.72,2,1236,1,"Canon Ivy 2 Mini Photo Printer, Print from Compatible iOS & Android Devices, Sticky-Back Prints, Blush Pink",1000,4.6,3420,79,Amazon,4.26,6.32,1,13803347814,13803347814,5452C017
B00ATZ9JZI,Canon,79155.27,47.37,8,1671,1,"Canon CLI-251 BK/CMY 4PK Compatible to MG6320, iP7220, MG5420, MX922, MG7120, MG6420, MG5520, iX6820, iP8720, MG7520, MG6620, MG5620",1000,4.6,6298,53.12,Alta Dodge (100% A2L1RROYHAX3),3.9,7.97,2,660685050914,660685050914,6432B011
B08MFVH7SV,Canon,358797,199,2,1803,0.818,"Canon RF50mm F1.8 STM Lens, Fixed Focal Length Prime Lens, Compatible with EOS R Series Mirrorless Cameras, Black",1000,4.7,2589,199,Amazon,7.32,22.92,2,13803338744,13803338744,4515C002
B0BSR7MZFZ,Canon,181591.1,100.94,3,1799,1,"Canon 067 Genuine Black Toner Cartridge High Capacity Compatible with LBP633Cdw, LBP632Cdw, MF652Cdw, MF653Cdw, MF654Cdw, MF656Cdw",1000,4.8,221,108.99,Amazon,5.66,15.72,1,13803341706,13803341706,5106C001
