Supplier Name,Brand,MPN,Product name,Supplier stock,Supplier Cost
Rutronik,2J,2J4241PGF-030RG178-UFL-UFL,LTE+GNSS Compact Size Ant.,0,12.33
Rutronik,2J,2J4250PGF-2.4-030RG178-UFL,"2J4250PGF-2.4 LTE,GPS,WIFI IP68",0,0
Rutronik,2J,2J4301MPFX-030RG174-C109N,2J4301MPFX Magnetic/Adhesive GNSS,0,16.82
Rutronik,2J,2J4301MPGFX-300RG174-C20N,2J4301MPGFX Magnetic/Adhesive GNSS,0,15.95
Rutronik,2J,2J432MP-250RG174-C20N,2J432MP Magnetic GPS ant. SMA/M,0,7.94
Rutronik,2J,2J434MOD-010MC113-U.FL,2J434MOD GPS antenna U.FL,0,5.98
Rutronik,2J,2J4441PGFR-300LL100-C20NRST_C20NBST,2J4441RPG LTE/Glonass glass mou,0,24.08
Rutronik,2J,2J4501MP-R02BA1-200UL2725-CE,2JR02ba1 with 2J4501MP Housing 2m UL2725,0,76.83
Rutronik,2J,2J4600MP-250RG174-C96-C95,"Ant.2J4600MP Fakra C+D 2,5m",0,14.97
Rutronik,2J,2J4600MPGR-250RG174-C96-C95,"Ant.2J4600MPGR Fakra C+D 2,5m",0,17.06
Rutronik,2J,2J4700BGF-300RG174-C20N_C20G,2J4700BG F-TH19 Antenna SMA/m 3m,0,26.05
Rutronik,2J,2J4700BGF-300RG174-C20N-C20N,2J4700BGF Antenna SMA/m 3m,0,13.95
Rutronik,2J,2J4701BG-TH19-300RG174-C20N,2J4701BG GNSS SMA 3m TH19 Screw,0,17.96
Rutronik,2J,2J4701BG-TH19-500RG174-C22GST,2J4701BG GNSS SMB 5m TH19 Screw,0,18.51
Rutronik,2J,2J4702B-050RG174-C115N,"2J4702B Antenna RP SMA 0,5m",0,5.22
Rutronik,2J,2J4702B-050RG174-C20N,"2J4702B Antenna SMA/M, 0,5m",0,5.22
Rutronik,2J,2J4702B-500RG174-C115N,"2J4702B Antenna RP SMA 5,0m",0,5.82
Rutronik,2J,2J4702B-TH19-200RG174-C20N,2J4702B ScrewM 2.4/5.0 2m SMA/M,0,14.39
Rutronik,2J,2J4702B-TH19-300LL100-C109NST,Screw Mount BT/WiFi  Ant.,0,8.7
Rutronik,2J,2J4702B-TH19-300RG174-C115N,"2J4702B Antenna RP SMA Male 3,0m",0,11.08
Rutronik,2J,2J4704B-300RG174-C20N,Antenna Penta band SMA/m,0,6.28
Rutronik,2J,2J4704B-TH19-500RG174-CE,2J4702B ScrewM 2.4/5 5m CutEnd,0,14.16
Rutronik,2J,2J471B-020RG174-C43N,2J471B Antenna 20cm MCX/M R/A,0,7.29
Rutronik,2J,2J471B-020RG174-C51N,2J471B Antenna 20cm MCX/M,0,8.09
Rutronik,2J,2J471BG-100RG174-C51N,"2J471BG Antenna 1M, MCX/M",0,5.22
Rutronik,2J,2J471GB-500RG174-C115N,"2J471BG Antenna 5M, RP SMA",0,7.03
Rutronik,2J,2J472B-250RG174-C20N,"2J472B Antenna 2,5m cable SMA/m",0,6.9
Rutronik,2J,2J474B-050RG174-C20N,2J474B Penta band 50cm SMA/m,0,5.67
Rutronik,2J,2J474B-500RG174-C115N,"2J474B Penta band 5,0M RP SMA",0,5.52
Rutronik,2J,2J474BW-030RG174W-C20N,2J474BW Penta band ant. White,0,3.71
Rutronik,2J,2J4841PCF-050RG178-UFL_UFL,2J4841PCF LTE/GNSS 50cm UFL,0,23.36
Rutronik,2J,2J4841PCFX-500LL100-C20N-C20N,2J4841PGF 5V LTE/GNSS 5m SMA/m,0,16.41
Rutronik,2J,2J4841PGF-030MC137-UFL-UFL,2J4841PG LTE/Glonass RG174,0,12.33
Rutronik,2J,2J4841PGF-030RG178-UFL_UFL_CU008051,2J4841PG LTE/Glonass RG174,0,0
