ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,UPC,Part Number,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0DX1T7JQ3,Garmin,,,,Not in SS,,,,"Garmin® Descent™ G2, Watch-Style Dive Computer, Bright AMOLED Display, Multiple Dive Modes, Health and Wellness Features, Black with Black Band",,,,699.99,Amazon,4.26,105,1,0753759351076,753759351076,010-02986-00
B09SX52BX6,Garmin,1699.95,339.99,1,5,0,196641009257,E99GRINSTINCT2SBK,Garmin 010-02627-13 Instinct 2 Solar Smartwatch Tactical Edition Black Bundle with Premium 2YR CPS Enhanced Protection Pack,,4.6,98,359.99,Beach Camera Same Day Shipping (96% A13BNE3P7C8THK),4.01,35.78,1,0196641009257,196641009257,E99GRINSTINCT2SBK
B0787BS6PS,Garmin,,,,Not in SS,,,,Garmin GNX Wireless Sail Pack 43,,,,1005.72,Prime Marine (93% A1GIKH3L785S8V),16.83,150.86,0,0753759171742,753759171742,010-01616-30
B07B6T2W99,Garmin,9075,825,1,11,0,753759169039,010-01561-00,Garmin GDL 50 Portable ADS-B Receiver,,4.4,72,825,Gulf Coast Avionics Corp. (97% ADLJ1WDSSUUMG),5.48,66,1,0753759169039,753759169039,010-01561-00
B09R7168RS,Garmin,0,49.84,2,0,1,753759278502,010-13111-03,Garmin QuickFit 22 Moss Silicone Band,,4.8,34,49.15,The Watch Co. (98% A191F1AQT3JCJB),3.68,7.86,2,0753759278502,753759278502,010-13111-03
B0DJQVKKC3,Garmin,1538.5,307.7,1,5,0,196641162303,E99GRLIL2ACTIVESP,Garmin 010-02891-01 Lily 2 Active Smartwatch Silver with Purple Jasmine Silicone Band Bundle with Tech Smart USA Fitness & Wellness Suite and 2 YR CPS Enhanced Protection Pack,,4.5,2,259.99,Beach Camera Same Day Shipping (96% A13BNE3P7C8THK),3.79,27.79,0,0196641162303,196641162303,E99GRLIL2ACTIVESP
B0CLWXSXMF,Garmin,3697.76,336.16,1,11,0,657768749803,010-02641-23-cr,"Garmin Forerunner® 255S Music, Smaller GPS Running Smartwatch with Music, Advanced Insights, Long-Lasting Battery, Whitestone (Renewed)",,3,2,349.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.26,35,0,0657768749803,657768749803,010-02641-23-cr
B074MD1CMN,Garmin,,,,Not in SS,,,,"Garmin Edge 1030, 3.5"" GPS Cycling/Bike Computer With Navigation And Connected Features",,4.4,593,540,Brands Cycle and Fitness (98% A3CFE8KIJUOW5H),5.1,43.2,0,"0753759173784, 0753759173746","753759173784, 753759173746",010-01758-00
B0F2KRSNTH,Garmin,,,,Not in SS,,,,"Garmin Lily 2, Small and Stylish Smartwatch, Hidden Display, Patterned Lens, Up to 5 Days Battery Life, Mulberry (Renewed)",,,,259.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.01,20.8,0,0724129188622,724129188622,010-02839-03-cr
B09R6SZM5Z,Garmin,273.84,45.64,3,6,1,753759278410,010-13102-05,Garmin QuickFit 20 Aqua Silicone Band,,4.4,14,49.97,The Watch Co. (98% A191F1AQT3JCJB),3.68,8,3,0753759278410,"753759278410, 753759298067",010-13102-05
