ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0DCHJ3DL1,BELL,537.93,179.31,2,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Orange/White - X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),15.69,21.59,1,196178114004,196178114004,7163875
B0DCHMZ777,BELL,537.78,179.26,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Orange/White - Small),,4.8,1157,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.61,21.59,1,196178113977,196178113977,7163872
B0DCH7H7WS,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Green/White - Medium),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.61,21.59,0,196178113939,196178113939,7163863
B094XMCZCF,BELL,359.97,119.99,2,3,0,BELL MX-9 MIPS Dirt Helmet (Offset Matte Black/Hi-Viz Yellow - Large),,4.8,1157,169.95,Shop J&W (95% A2MFGMIGS5UPZJ),13.23,25.49,1,768686439377,768686439377,7136278
B0CTNTNXNM,BELL,599.85,199.95,4,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Twitch DBK 24 Black/White - 2X-Large),,4.8,1158,159.96,Movatik (99% A1F1CRO6ZMXV7T),14.55,23.99,3,196178053587,196178053587,7160346
B0762J9811,BELL,507.72,169.24,2,3,0,BELL MX-9 MIPS Dirt Helmet (Matte Black - X-Small),,4.8,1157,135.96,Movatik (99% A1F1CRO6ZMXV7T),14.93,20.39,2,768686107702,768686107702,7091717
B0DCGVRV99,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss White - Small),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),15.69,21.59,0,196178114301,196178114301,7163960
B0DCH7W6Z5,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Breakdance Blue/Pink - 2X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),14.93,21.59,1,196178114622,196178114622,7164063
B0CCW64B7N,BELL,454.74,151.58,1,3,0,BELL MX-9 MIPS Dirt Helmet (Dart Gloss Charcoal/Orange - Large),,4.8,1157,143.95,Extreme Supply (93% AVJRJAKBT4KAP),14.55,21.59,2,196178103633,196178103633,7157384
B0CTNZMDMK,BELL,599.85,199.95,4,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Twitch DBK 24 Black/White - X-Large),,4.8,1158,159.96,Movatik (99% A1F1CRO6ZMXV7T),13.23,23.99,4,196178053570,196178053570,7160345
B0DCH8JKCT,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Breakdance Black/Orange - Small),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114530,196178114530,7164049
B0DCHF8WY9,BELL,539.85,179.95,2,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Blue/Hi-Viz Yellow - X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),14.93,21.59,2,196178114158,196178114158,7163905
B0DCHG49K8,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Black/White - 2X-Large),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.61,21.59,0,196178114110,196178114110,7163896
B0CTNX1BZ6,BELL,599.85,199.95,2,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Twitch DBK 24 Black/White - Large),,4.8,1157,159.96,Green Room Extreme Outdoors (97% A12AWXEV5DO25C),13.61,23.99,2,196178053563,196178053563,7160344
B0DCHHHK87,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Matte Nardo Gray - X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114264,196178114264,7163949
B0DCGKKYXC,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Green/White - Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178113946,196178113946,7163864
B0DCHGDN2F,BELL,539.85,179.95,2,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Blue/Hi-Viz Yellow - Medium),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.23,21.59,3,196178114134,196178114134,7163903
B0DCHHSHDQ,BELL,539.85,179.95,2,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Red/White - X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,2,196178114059,196178114059,7163885
B0B9QTXTZW,BELL,599.85,199.95,0,3,0,Bell MX-9 MIPS Dirt Helmet (FH Prospect Matte Black/White - X-Large),,4.8,1157,159.96,Motosport Roanoke (81% ADE9PX7T4BUXU),14.93,23.99,2,196178146920,196178146920,7148507
