Main Image,Image Count,ASIN,Page Score,Title,Brand,Est. Monthly Revenue,Trailing 12 Months,Main Category,Main Category Rank,Primary Subcategory,Primary Subcategory Rank,1 Month Growth,12 Month Growth,Opportunity Score,Est. New Seller Share,Price,Package Quantity,FBA Sellers,All Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Rating,Ratings Count,Parent ASIN,Launch Date,UPC,Manufacturer,Part Number,Model
7195La7MKSL.jpg,12,B0D4NYW7QS,9.8,"TCL 65-Inch Class S5 UHD 4K LED Smart TV with Fire TV (65S551F, 2024 Model), Dolby Vision, HDR PRO+, Dolby Atmos, Alexa Built-in with Voice Remote, Apple AirPlay 2 Compatibility, Streaming Television",TCL,801597.5,10590711.96,Electronics,,Televisions,29,0.253,,4.9,2266,353.75,1,1,2,2266,1,4.1,1803,B0DFH8W672,2024-06-16 00:00:00,846042090919,TCL,65S551F,65S551F
61qMO3TS2RL.jpg,6,B08X4YMTPM,9.1,"JBL CHARGE 5 - Portable Waterproof (IP67) Bluetooth Speaker with Powerbank USB Charge out, 20 hours playtime, JBL Partyboost (Black)",JBL,801484.32,12219952.83,Electronics,503,Portable Bluetooth Speakers,23,0.04,0.9,6.2,5369,149.28,1,7,18,5369,1,4.7,31674,B0D4F8BHT9,2021-02-22 00:00:00,50036380218,JBL,JBL Charge 5,JBL Charge 5
61mpMH5TzkL.jpg,10,B07GBZ4Q68,9.9,"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",Logitech G,799947.66,5913499.24,Video Games,20,PC Gaming Mice,1,-0.083,1.616,6.2,9343,42.81,1,14,28,18686,1,4.6,54487,B0D3VB1DHS,2018-08-24 00:00:00,97855141996,Logitech,910-005469,910-005469
81Ymq0Ck18L.jpg,12,B0CLWVH384,9.8,"Philips Norelco Shaver 2400 Series, Wet and Dry Electric Shaver, Pop-up Trimmer, P-Cap, Deep Black, Model X3001/90",Norelco,799715.6,11499992.54,Beauty & Personal Care,713,Men's Rotary Shavers,1,0.015,0.156,5.8,10295,38.84,1,2,75,20590,0.941,4.3,55092,B0D9M5JJ56,2023-10-27 00:00:00,75020107039,Philips Norelco,X3001/90,X3001/90
71UwLJqaVCL.jpg,7,B088J68TRL,9.2,"Bissell TurboClean PowerBrush Pet Carpet Cleaner, 2987",Bissell,799175.84,18488486.99,Home & Kitchen,1043,Carpet & Upholstery Cleaning Machines,5,0.084,-0.486,4,7256,110.14,1,1,2,7256,1,4.6,32152,B0F48ZP1SH,2020-12-16 00:00:00,11120257526,BISSELL,2987,2987
61KiVC7d6wL.jpg,10,B07P97JJNZ,9.3,"Miele Classic C1 Turbo Team Bagged Canister Vacuum, Tech Blue - Portable, Household",Miele,799106.25,9505731.64,Home & Kitchen,15789,Canister Vacuum Cleaners,8,0.305,0.315,6.2,1853,431.25,1,8,14,1853,1,4.5,2825,,2019-03-25 00:00:00,,Miele,11181010,11181010
714IPjkdWiL.jpg,7,B0B7RSV894,9,"Bomves Electric Spin Scrubber, Cordless Cleaning Brush Scrubber for Home, 400RPM/Mins-8 Replaceable Brush Heads-90Mins Work Time, 3 Adjustable Size, 2 Speeds for Bathroom Shower Bathtub Glass Car",Bomves,798525,10426420.8,Health & Household,1769,Household Cleaning Brushes,7,0.247,-0.036,8.1,8775,45.5,1,2,2,17550,0,4.5,10252,,2022-07-27 00:00:00,,Bomves,3,ANS-8050
319DqCyLa3L.jpg,11,B09TRZLPXP,9.2,"Canon PIXMA TR8620a - All-in-One Printer Home Office|Copier|Scanner|Fax|Auto Document Feeder | Photo, Document | Airprint (R), Android, Black, Works with Alexa",Canon,797014.08,8900307.41,Office Products,1283,Ink Tank Printers,6,-0.269,-0.507,6.5,2328,171.18,1,1,44,4656,0.89,4.1,5210,,2022-03-02 00:00:00,13803348323,Canon,4451C032,4451C032
71SZNup1qrL.jpg,11,B0D1YNVD88,9.5,"Samsung Galaxy Watch 7 40mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Cream [US Version, 1Yr Manufacturer Warranty]",SAMSUNG,796330.64,6421415.64,Electronics,912,Smartwatches,24,0.142,,4,1778,223.94,1,8,13,3556,1,4.5,2089,B0D8V83LD9,2024-07-10 00:00:00,887276868912,SAMSUNG,SM-L300NZEAXAA,SM-L300NZEAXAA
71E708Xb4TL.jpg,7,B0DHRW19D7,8.8,"Juicer Machines with 5.8"" Extra Large Feed Chute, Cold Press Juicer For Whole Vegetables and Fruits, 350W Professional Masticating juicer Easy to Clean for Batch Juicing (Titanium Gray)",YPONE,795357.44,1704969.91,Kitchen & Dining,935,Single Auger Masticating Juicers,2,0.881,,7.8,2896,137.32,1,3,6,5792,0,4.5,555,,2024-09-23 00:00:00,,,SJ-057,SJ-057
81FIzp9c1BL.jpg,18,B00000ISC5,9.5,"Insect Lore Butterfly Garden Kit, Painted Lady Butterfly Kit with Voucher for Live Caterpillars, Butterfly Habitat, STEM Journal & More",Insect Lore,795131.55,2054492.94,Toys & Games,29,Educational Science Kits,1,2.532,0.896,5.9,15934,24.95,1,1,20,31869,1,4.6,22754,,2018-03-19 00:00:00,735569010107,Insect Lore,1010,10416
61wxtzBO8jL.jpg,8,B07TK5K5TQ,9,"TRU NIAGEN Patented NAD+ Supplement for Anti Aging and Cell Regeneration, 300 mg Niagen, 30 Servings | Supports Cellular Energy, Brain, Muscle | Nicotinamide Riboside (NR) Take 1 Daily | 1 Bottle",TRU NIAGEN,794914.4,9528129.22,Health & Household,618,Vitamin B3 (Niacin) Supplements,1,-0.114,0.08,9,8246,48.2,1,1,2,16492,0.012,4.4,15444,B0C5TQ7L8C,2018-02-27 00:00:00,850015311857,ChromaDex,30-300MG-PARENT,PHTNB001-30-300NSFS
71v86XkRHDL.jpg,8,B0CV3ZJ2PN,8.9,"Ulike Laser Hair Removal, Air 10 IPL Hair Removal for Women and Men, 65°F Ice-Cooling Contact, Dual Lights, Skin Sensor & SHR Mode* for Nearly Painless, Effective & Long-Lasting Hair Removal from Home",Ulike,794770,28135890.19,Beauty & Personal Care,10563,Light Hair Removal Devices,5,0.592,,8.4,2225,357.2,1,1,2,2225,0,4.2,1562,,2024-02-06 00:00:00,,"Shenzhen Ulike Smart Electronics Co.,Ltd",UI20 DB-US,UI20 DB
81LW2Teq44L.jpg,8,B0CKY5N63H,9,"Zevo 2 Flying Insect Traps & 4 Cartridges - Plug In Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Mess-Free - Use in Any Room - Uses Blue & UV Light (2 Plug In Devices & 4 Cartridges)",ZEVO,794391.87,4267771.13,"Patio, Lawn & Garden",2,Pest Control Traps,1,0.195,2.578,8,8732,45.49,1,1,6,17463,0,4.3,56481,B0CY6STHBV,2023-10-12 00:00:00,,ZEVO,ZEV-TTP-RK-BLD,Model 4
61gLx01XtlL.jpg,7,B0DJ2WQ498,9.8,"DJI RS 4 Mini Combo, Gimbal Stabilizer for Camera Canon/Sony/Panasonic/Nikon/Fujifilm, Auto Axis Locks, Intelligent Tracking, 2kg/4.4lbs Payload, Camera Gimbal, Briefcase Handle",DJI,794241.36,61560.49,Camera & Photo,,Professional Video Stabilizers,1,12.902,,3.6,578,458.04,1,3,5,1734,1,4.4,1540,B0DZFRL6Z3,2025-02-20 00:00:00,190021117051,DJI,6941565991959,6941565991959
61egYXcL9OL.jpg,7,B0B1JPPG2L,9.1,"Breville Bambino Espresso Machine BES450BSS, Brushed Stainless Steel",Breville,793861.77,12036263.05,Home & Kitchen,9501,Semi-Automatic Espresso Machines,4,-0.253,0.154,5.2,662,299.91,1,4,8,2647,1,4.3,2220,B0CXYCMB86,2022-05-17 00:00:00,21614803269,Breville,BES450BSS1BUS1,BES450BSS1BUS1
81Vt8SIjsZL.jpg,5,B09BJYXMDW,8.5,"Seagate Storage Expansion Card 2TB Solid State Drive - NVMe SSD for Xbox Series X|S, Quick Resume, Plug & Play, Licensed (STJR2000400) Black",Seagate,792643.11,14469740.49,Electronics,,External Solid State Drives,8,0.263,-0.565,4.9,1830,216.51,1,3,29,3661,1,4.6,40641,B0DYPH2TXJ,2021-10-22 00:00:00,763649170311,Seagate,STJR2000400,STJR2000400
71OyWl-fdOL.jpg,10,B075VX4QVM,9.6,"La Roche-Posay Hyalu B5 Pure Hyaluronic Acid Serum for Face, Vitamin B5 + Hyaluronic Acid + Madecassoside, Hydrating Serum Visibly Plumps Skin, Sensitive Skin Safe, Anti Aging, Oil-Free",La Roche-Posay,792466.65,10023408.2,Beauty & Personal Care,423,Facial Serums,15,-0.013,-0.152,4,21447,36.95,1,1,2,21447,1,4.6,29601,B0D9HRY799,2017-12-05 00:00:00,,La Roche-Posay,3337875583626,3337875583626
61HfweGzmgL.jpg,8,B01N0993NM,9.9,"Wahl Color Pro Cordless Rechargeable Hair Clipper & Trimmer – Easy Color-Coded Guide Combs - for Men, Women, & Children – Model 9649P",Wahl,791788.71,9696105.11,Beauty & Personal Care,587,Hair Clippers,1,0.025,0.025,6.5,5657,34.99,1,3,3,22629,1,4.5,77880,,2016-10-22 00:00:00,43917101712,Wahl Clipper Corp,9649P,9649P
71Um8T3BkrL.jpg,8,B09TT5ZMPR,9.4,"Husqvarna 150BT Gas Leaf Blower, 51-cc 2.16-HP 2-Cycle Backpack Leaf Blower, 765-CFM, 270-MPH, 22-N Powerful Clearing Performance and Ergonomic Harness System, 970466901",Husqvarna,791330.36,5332374.37,"Patio, Lawn & Garden",3109,Leaf Blowers,17,0.94,-0.516,6.2,1399,282.82,1,1,3,2798,1,4.1,1069,,2022-05-12 00:00:00,193028060597,Husqvarna,970466901,970466901
